pais,coords,region,urban,id
UK,"[69.50878899696212, 15.207106756273646]",London,True,location_B0B2PPGM8S
Canada,"[-56.99805476760292, 30.538584158505728]",Ontario,True,location_OEOI0YJ2A1
France,"[-101.57970329949308, -51.993904439006016]",California,False,location_OM4MIJDJ76
Canada,"[8.076001611183983, 3.824281495760033]",Bavaria,False,location_XR9QPATFGW
Mexico,"[-50.03283335734142, -71.59294693829955]",Île-de-France,False,location_UNLAFXF5WL
UK,"[93.18022882172448, 54.776012622082675]",London,False,location_7PTO42FZJO
Canada,"[-95.6941318767495, -23.13924597681023]",California,True,location_PXILZ0T9JC
Canada,"[128.96384834356576, -72.82419844029309]",Île-de-France,False,location_UIRLNKHGVX
Canada,"[-53.63514650326094, -4.865908456652107]",Île-de-France,True,location_LV45RO5T5Z
Germany,"[-144.35179928237693, -63.42504643041885]",Bavaria,False,location_CVDTMN346I
UK,"[-88.20083965870452, -16.90735340020133]",Bavaria,False,location_HM84MMKZC6
Germany,"[118.62515777329025, 12.98961958086953]",London,False,location_B70V86ADOV
Mexico,"[132.89382875147737, 88.53522888386027]",California,True,location_A02OVKAJU5
USA,"[37.31009372790143, -80.42707168300129]",Baja California,False,location_CSMWJ4I3SU
Germany,"[179.4382764329455, 82.49450707291663]",Ontario,False,location_0UM7H7B52W
USA,"[97.13800255006078, 25.06941666065292]",Baja California,True,location_J745AKWK3L
France,"[-3.131391841902257, 59.344259883740506]",Bavaria,False,location_O9U4IP1VAE
Mexico,"[-38.106976833417036, -26.205748739878167]",Île-de-France,True,location_IXVP97BCDR
France,"[60.00081057962805, -64.60906579825871]",Baja California,False,location_H88H8F6FW3
France,"[113.25186073054346, 70.16906555516823]",California,True,location_ZFVZV3G4KA
Canada,"[-163.8955265175794, 44.227343650685754]",London,False,location_EK3Z0W15CN
UK,"[-56.934226651929436, -48.968767109824896]",London,True,location_VSBCOW5Y8W
France,"[-165.50789295094933, -68.51758374671223]",California,False,location_A4QJLWZZDC
France,"[-141.6471805789869, 63.83307860946144]",Ontario,False,location_J7W5CRI4DU
UK,"[-6.4788479006555235, 85.64243074177307]",Bavaria,True,location_GVFT7JNVZB
Germany,"[-17.0051572471761, -86.53444904634121]",California,True,location_FYN7HE4I0J
Germany,"[-92.35336537535021, -89.69918626084014]",London,False,location_AK3GXTKD9S
Mexico,"[35.731967150041555, 62.53065331748712]",Île-de-France,False,location_MFA5ZGD6NM
USA,"[-62.58195188079253, -4.316299995707595]",London,False,location_GZNVNOSRW3
France,"[-88.76262043782971, -16.1097135000243]",London,False,location_PU3YW8HIIP
Mexico,"[-169.93466945325346, 58.891629980413285]",California,False,location_B45S2XI8IG
Canada,"[67.86650314280371, 33.151230617003506]",London,True,location_LSPVSN4BJN
UK,"[176.96807307012438, 5.202295320797489]",California,False,location_VJ0TNXEDBT
UK,"[49.99483576646037, -22.974972795140587]",Bavaria,True,location_P22KDYFCFD
France,"[-137.53957622960635, 41.492477469730005]",London,True,location_6LXTIQI9JR
UK,"[38.92805570225107, -85.24478189757289]",Bavaria,True,location_VQ8G5T3VCU
USA,"[169.47961068046715, -76.47758527937388]",Bavaria,True,location_N04X77D44T
Mexico,"[121.67557957669845, 32.4422712021813]",California,True,location_57DD3UY49I
Germany,"[47.90603650345392, -23.965724342672473]",Île-de-France,True,location_6W0460SD6T
Germany,"[-9.544766745971998, 1.347230061040534]",Bavaria,False,location_5QEDYMW4NU
France,"[96.03834991638308, 26.769407542795207]",Baja California,True,location_GHWRYEKH8U
Mexico,"[-78.8151827098908, -89.61766678708345]",Bavaria,False,location_J14HM6EVEX
Mexico,"[2.0517550051399382, 69.34365606649959]",Bavaria,False,location_UV3FYAUSTO
USA,"[39.50878521371507, -65.54708439711631]",Bavaria,True,location_4I1I658Q8R
Mexico,"[-96.90655435856425, 59.80355974321833]",Bavaria,False,location_1CL69SUGND
Mexico,"[179.8278078371144, 46.91155836267197]",Île-de-France,False,location_D3L33UC0UQ
Germany,"[-66.83502618735756, 76.46449875116411]",Île-de-France,False,location_FNJMKE3GWI
Germany,"[-100.99094768834405, -77.6267894774475]",Ontario,True,location_32SZN79VGV
France,"[-23.495116149919653, -89.8300891109363]",Île-de-France,True,location_XB9E0SVFS4
UK,"[45.39705752568429, 29.572866723456713]",California,False,location_EKKV3ZBFES
USA,"[140.90912975246528, 56.74016620884936]",Bavaria,False,location_HJHUTF37QL
USA,"[16.944398243672964, 60.24245409748937]",London,False,location_O51IG22F1W
Canada,"[-7.6294203104033045, -36.2100029939201]",Baja California,True,location_M2LJAWIRHW
USA,"[86.032816576311, 76.96280829971099]",Ontario,False,location_RYQNGJBZAK
Germany,"[59.61434918134046, -27.181065372457176]",Baja California,False,location_W2E1KVCVGQ
UK,"[18.427244640787563, 14.524639421317815]",California,True,location_DBAEVECNVS
UK,"[-12.385571550516687, 0.7777465331924986]",Île-de-France,False,location_YLBJAPS0IK
France,"[28.869100128286192, -48.1413630235147]",Île-de-France,True,location_1112E9AAKG
USA,"[146.64846794748922, -13.452599480391385]",Île-de-France,True,location_4T38GQ57PG
UK,"[-123.76080435456521, 67.95097872799982]",Île-de-France,False,location_EMIL7TB29I
UK,"[3.4951839929458686, -48.92678417155653]",Île-de-France,False,location_FLTCF5P0RT
USA,"[40.209925286264905, -33.91412746482181]",London,True,location_B8XWGOLZ9H
Canada,"[121.09565396347642, -57.80838642570317]",California,True,location_A7KKCCSTCW
