fecha,texto,hashtags,links,id,topic,mentions,ubicacion
2022-12-04,Tweet 1,"['hashtag_P0C6KJ82Q2', 'hashtag_KK7HX7FFE6', 'hashtag_2FDZOQRLKN']","['link_4B53MB2ZKO', 'link_G5AG6FTAUU', 'link_5VPM5GXIED']",tweet_KV0940M6YO,entertainment,"['user_Z28C83Z8IO', 'user_I90B4FJWAB', 'user_T49C80UFHW']",location_O92SPR4J9Q
2020-01-05,Tweet 2,"['hashtag_ASF2EAYPRG', 'hashtag_JPILS10OUM', 'hashtag_6X3W4YAFRZ']","['link_C1M00JT5A2', 'link_0HC7JEA9GK']",tweet_RP6AGGAPHN,entertainment,"['user_QVSUKXA7XN', 'user_OQPTXEQZOG', 'user_DDI2DHEWMM']",location_K82IQTW7VS
2023-04-05,Tweet 3,"['hashtag_RGT6GPG3ZY', 'hashtag_JUHPPTA3O7']","['link_EIZLKHCZ6V', 'link_N357HO2PEB', 'link_P8BGL0KH8D']",tweet_73SDLC9QEX,entertainment,"['user_8XATVI3RS8', 'user_X5RUY718H3', 'user_GV8BWE46B0']",location_FJD5VJZ9W1
2020-05-09,Tweet 4,['hashtag_PFM3ENRW67'],"['link_TR4H8FM6GB', 'link_21KXGBRPJH']",tweet_PDZTW9PIZO,sports,"['user_JZBFXH848H', 'user_LK0CYLZIES', 'user_HD98UACXWU']",location_Q2YWTG6TRD
2023-06-20,Tweet 5,"['hashtag_ZWR3VW07NO', 'hashtag_BC53TR5VYQ']","['link_L3GEDRC071', 'link_TN8JPCZOSU']",tweet_CPKV5FJQ03,technology,"['user_534CUDBQ15', 'user_5I372IFBN9']",location_C0M6B798Q7
2023-01-21,Tweet 6,"['hashtag_XX9TF5FDWC', 'hashtag_7A462H1P0F']",['link_1PGMS77CMQ'],tweet_4936O4H28G,entertainment,['user_TCUZIJCOND'],location_B9K5EMARJJ
2020-10-18,Tweet 7,['hashtag_A7QIVTLAU7'],['link_XFWPLBUMI8'],tweet_MIHYNQIDJS,technology,['user_ANO8E3LBO5'],location_D8RADNVKT9
2021-07-04,Tweet 8,"['hashtag_LI8SCMTD63', 'hashtag_4WNJ9ZKE3N']",['link_SBPV92F3B1'],tweet_0TOTDL51XK,sports,"['user_PJQAB9FL6W', 'user_DX6CA9TCGR', 'user_7FREUWRYVO']",location_NLDOF144T4
2023-06-05,Tweet 9,"['hashtag_YG5Y1Y8F35', 'hashtag_KEIABVKRVC', 'hashtag_ZLZPYDR85G']","['link_5RXCX56RQJ', 'link_1K3G8MQ7YC', 'link_VC40B53HC4']",tweet_AWYE0LFJWH,sports,['user_TKC4U3DLJV'],location_GT0EWWZZ50
2023-03-10,Tweet 10,['hashtag_PSIXI597VE'],"['link_LNI4D1M1I4', 'link_P2DL2E56UE', 'link_YVKNLA5S7N']",tweet_0M9YPEFDCC,sports,"['user_Q6GLEY79AC', 'user_TYQP7M0ZNQ']",location_3ECABTRVJU
2020-08-06,Tweet 11,"['hashtag_YI9ZPL1OMS', 'hashtag_1BHJUPUOIX', 'hashtag_CVYTEJ797D', 'hashtag_I8S9JI4YFU']","['link_ZTU5XWUX21', 'link_MUGFR50S66', 'link_VNHOISTYIK']",tweet_GLCV8X3592,entertainment,['user_KTB2370M0F'],location_7WWUWXE559
2021-09-23,Tweet 12,"['hashtag_SISDBCQWQH', 'hashtag_OT51MV6QSS', 'hashtag_6KK8V5A95E']",['link_R8H2SFF6GS'],tweet_YII6V49C87,sports,['user_F1DHHH718S'],location_RGTOMAFA77
2023-05-06,Tweet 13,"['hashtag_7AYBG89IWZ', 'hashtag_NGSVXH4LRQ']",['link_6BW7SSXY7M'],tweet_0FQABVV2P7,politics,"['user_SKL7AF2M4I', 'user_M41B6Q8MHH', 'user_BQ7ESES6BK']",location_SO5QGYQCHQ
2021-07-21,Tweet 14,['hashtag_XP0P3GQ58G'],"['link_YDNHVBEOPD', 'link_ADKDH8RTSK']",tweet_EB5RCNTSHM,entertainment,['user_B3Y80SOV1U'],location_JWEW6QPYOD
2023-11-14,Tweet 15,"['hashtag_CEQY3YDWL0', 'hashtag_AWM8JJYO9O', 'hashtag_9M7T3XWUGK']","['link_XMHCB5QL90', 'link_5E4JCTBW3W']",tweet_LKMLJXYVUN,entertainment,"['user_OF7VFW1316', 'user_2GAFJ8GS4U', 'user_TL1MVKHN1A']",location_XZLRJ345IR
2020-10-16,Tweet 16,"['hashtag_I42Y83QMX4', 'hashtag_06GJB57RP7', 'hashtag_TWKY9SZ889']","['link_Y43NIS1UDJ', 'link_EF3LJLT2TT', 'link_DNV7JYM5CP']",tweet_N3TVRRY4R9,sports,"['user_6CQ6Z685P0', 'user_4B4ONX52T9']",location_XUIZBXPFIS
2023-06-06,Tweet 17,"['hashtag_DUQ5X220II', 'hashtag_2WYLALM4OR', 'hashtag_RJDTG9H4BH', 'hashtag_U9LBAPG5SL', 'hashtag_8XQA4EGJL7']","['link_E3FPSHOAUE', 'link_M3QGD6E6T7']",tweet_NHHIINVIAY,technology,"['user_48X4O4MTRJ', 'user_EEQ1L8ZC4O', 'user_C0MRDMQ4G3']",location_FJ2N2F0UNK
2021-01-22,Tweet 18,['hashtag_RYL8W5HAJB'],"['link_XBGU557XZF', 'link_NOIBBE6HS7', 'link_M8NSAXJK8E']",tweet_3VTP3N1MEL,sports,"['user_UPU5D5QJY6', 'user_VPSGFT4SGK', 'user_425TCICPBA']",location_H1DUDU8HIM
2020-12-25,Tweet 19,"['hashtag_EQ79H5LOTX', 'hashtag_VGHEQOIIAC']","['link_FCH8Z77QYS', 'link_OVE6QHJAWN', 'link_YMM68P048F']",tweet_93HT25ZSBG,sports,['user_F2WSW0H87U'],location_7S5GSCHR9T
